source,component,lengthscale_multiplier,reference_distance_scale,resolved_lengthscale,n_finite_offdiagonal_pairs,n_identical_pairs,fraction_identical_pairs,n_nonidentical_pairs,kernel_q05_nonidentical,kernel_q25_nonidentical,kernel_median_nonidentical,kernel_q75_nonidentical,kernel_q95_nonidentical,fraction_nonidentical_kernel_lt_1e-3,fraction_nonidentical_kernel_lt_0p01,fraction_nonidentical_kernel_gt_0p9
pcp,304,1.0,2.5932144235932295,2.5932144235932295,595,129,0.21680672268907564,466,0.29774221533800466,0.4215298852337394,0.5834650695477264,0.6065306597126334,0.7728458052192324,0.0,0.0,0.008583690987124463
pcp,304,2.0,2.5932144235932295,5.186428847186459,595,129,0.21680672268907564,466,0.7386864009796485,0.8057625760808471,0.8739844692863713,0.8824969025845953,0.9376121219715153,0.0,0.0,0.09012875536480687
pcp,330,0.5,2.5932144235932295,1.2966072117966148,595,25,0.04201680672268908,570,0.003402863363019718,0.003402863363019718,0.30451236295509143,0.9999999999999996,0.9999999999999996,0.0,0.25263157894736843,0.4842105263157895
pcp,330,1.0,2.5932144235932295,2.5932144235932295,595,25,0.04201680672268908,570,0.24152446442650222,0.24152446442650222,0.7428501789853578,0.9999999999999999,0.9999999999999999,0.0,0.0,0.4842105263157895
pcp,330,2.0,2.5932144235932295,5.186428847186459,595,25,0.04201680672268908,570,0.7010359374658772,0.7010359374658772,0.9283789999160286,1.0,1.0,0.0,0.0,0.6947368421052632
physical,99,0.5,1.6851495901680715,0.8425747950840358,595,223,0.37478991596638656,372,0.0001782542573932428,0.014292360608113341,0.06326561580670466,0.13533528323661267,0.13533528323661267,0.07526881720430108,0.15053763440860216,0.0
physical,99,1.0,1.6851495901680715,1.6851495901680715,595,223,0.37478991596638656,372,0.1155473468431734,0.3457609886348011,0.5015242474464585,0.6065306597126334,0.6065306597126334,0.0,0.0,0.0
physical,99,2.0,1.6851495901680715,3.370299180336143,595,223,0.37478991596638656,372,0.5830287815090999,0.7668209999345185,0.8415365510306229,0.8824969025845953,0.8824969025845953,0.0,0.0,0.0
physical,134,0.5,1.6851495901680715,0.8425747950840358,595,210,0.35294117647058826,385,0.1508772439073666,0.1508772439073666,0.1508772439073666,0.1508772439073666,0.9999999999999994,0.0,0.0,0.23636363636363636
physical,134,1.0,1.6851495901680715,1.6851495901680715,595,210,0.35294117647058826,385,0.6232408849207742,0.6232408849207742,0.6232408849207742,0.6232408849207742,0.9999999999999999,0.0,0.0,0.23636363636363636
physical,134,2.0,1.6851495901680715,3.370299180336143,595,210,0.35294117647058826,385,0.8885134039648662,0.8885134039648662,0.8885134039648662,0.8885134039648662,1.0,0.0,0.0,0.23636363636363636
physical,304,0.5,1.6851495901680715,0.8425747950840358,595,130,0.2184873949579832,465,0.004298331584132907,0.004665081907643217,0.008446355104443205,0.42200406733172974,0.9713522079730049,0.002150537634408602,0.5096774193548387,0.1010752688172043
physical,304,1.0,1.6851495901680715,1.6851495901680715,595,130,0.2184873949579832,465,0.25605011708073033,0.2613453746924363,0.3031568138730517,0.8059890826299058,0.9927598000992294,0.0,0.0,0.17204301075268819
physical,304,2.0,1.6851495901680715,3.370299180336143,595,130,0.2184873949579832,465,0.7113465748088166,0.7149961521342512,0.7420220884527627,0.9475067003672473,0.9981850147437465,0.0,0.0,0.26666666666666666
physical,330,0.5,1.6851495901680715,0.8425747950840358,595,301,0.5058823529411764,294,0.00015306847829783078,0.00015306847829783078,0.007027076671673984,0.4542457890992182,0.4542457890992182,0.4897959183673469,0.5918367346938775,0.0
physical,330,1.0,1.6851495901680715,1.6851495901680715,595,301,0.5058823529411764,294,0.11122987295831599,0.11122987295831599,0.28953006845642953,0.8209613803218216,0.8209613803218216,0.0,0.0,0.0
physical,330,2.0,1.6851495901680715,3.370299180336143,595,301,0.5058823529411764,294,0.5775044835560097,0.5775044835560097,0.7335393536316225,0.9518766683746276,0.9518766683746276,0.0,0.0,0.40816326530612246
